user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
M1_25.23.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
M1_25.231.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__B68-G16;s__	N/A	N/A	N/A	N/A	N/A	GCA_003647945.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__B68-G16;s__B68-G16 sp003647945	86.12	0.497	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__B68-G16;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	31.99	11	0.93736	Genome has more than 50.0% of markers with multiple hits
M1_25.232.filtered	d__Bacteria;p__Actinobacteriota;c__Geothermincolia;o__Geothermincolales;f__RBG-13-55-18;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001768645.1	95.0	d__Bacteria;p__Actinobacteriota;c__Geothermincolia;o__Geothermincolales;f__RBG-13-55-18;g__Solincola;s__Solincola sediminis	76.68	0.087	d__Bacteria;p__Actinobacteriota;c__Geothermincolia;o__Geothermincolales;f__RBG-13-55-18;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	71.84	11	0.84266	N/A
M1_25.233.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.2%)
M1_25.234.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.0%)
M1_25.235.filtered	d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__DSAB01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016931965.1	95.0	d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__DSAB01;g__JAFGDT01;s__JAFGDT01 sp016931965	77.04	0.032	d__Bacteria;p__QNDG01;c__QNDG01;o__QNDG01;f__DSAB01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	26.81	11	0.75376	N/A
M1_25.237.filtered	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303025.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__SG8-13;s__SG8-13 sp001303025	76.79	0.051	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	75.56	11	0.8083	N/A
M1_25.239.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.24.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	46.54	11	0.87502	Genome has more than 31.7% of markers with multiple hits
M1_25.240.filtered	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	34.91	11	0.5895	Genome has more than 28.3% of markers with multiple hits
M1_25.242.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.5%)
M1_25.243.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__SM23-28-2;g__SM23-28-2;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303545.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__SM23-28-2;g__SM23-28-2;s__SM23-28-2 sp001303545	85.34	0.637	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SM23-28-2;f__SM23-28-2;g__SM23-28-2;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	82.27	11	0.91281	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.244.filtered	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__JAFGQJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016935715.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__JAFGQJ01;s__JAFGQJ01 sp016935715	80.31	0.383	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__DRHE01;g__JAFGQJ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	41.6	11	0.93894	N/A
M1_25.245.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
M1_25.246.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	N/A	N/A	N/A	N/A	N/A	GCA_002424525.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp002424525	76.12	0.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016715075.1, s__LD21 sp016715075, 95.0, 77.35, 0.069; GCA_003141895.1, s__LD21 sp003141895, 95.0, 76.78, 0.074; GCA_016936695.1, s__LD21 sp016936695, 95.0, 76.66, 0.046; GCA_002328625.1, s__LD21 sp002328625, 95.0, 76.66, 0.14; GCA_003162595.1, s__LD21 sp003162595, 95.0, 76.64, 0.056; GCA_016718875.1, s__LD21 sp016718875, 95.0, 76.6, 0.061; GCA_001768195.1, s__LD21 sp001768195, 95.0, 76.6, 0.064; GCA_016709865.1, s__LD21 sp016709865, 95.0, 76.53, 0.082; GCA_002428385.1, s__LD21 sp002428385, 95.0, 76.48, 0.031; GCA_903824785.1, s__LD21 sp903824785, 95.0, 76.46, 0.092; GCA_003157015.1, s__LD21 sp003157015, 95.0, 76.38, 0.069; GCA_003501665.1, s__LD21 sp003501665, 95.0, 76.35, 0.064; GCA_003157075.1, s__LD21 sp003157075, 95.0, 76.32, 0.064; GCA_003152835.1, s__LD21 sp003152835, 95.0, 76.28, 0.054; GCA_017882345.1, s__LD21 sp017882345, 95.0, 76.24, 0.084; GCA_013314865.1, s__LD21 sp013314865, 95.0, 76.22, 0.046; GCA_002319915.1, s__LD21 sp002319915, 95.0, 76.2, 0.043; GCA_003141525.1, s__LD21 sp003141525, 95.0, 76.2, 0.082; GCA_012519515.1, s__LD21 sp012519515, 95.0, 76.17, 0.059; GCA_015712185.1, s__LD21 sp015712185, 95.0, 76.17, 0.084; GCA_009877105.1, s__LD21 sp009877105, 95.0, 76.16, 0.043; GCA_003142255.1, s__LD21 sp003142255, 95.0, 76.09, 0.077; GCA_003155705.1, s__LD21 sp003155705, 95.0, 76.07, 0.048; GCA_003141715.1, s__LD21 sp003141715, 95.0, 76.06, 0.087; GCA_016936435.1, s__LD21 sp016936435, 95.0, 76.02, 0.048; GCA_003520925.1, s__LD21 sp003520925, 95.0, 76.01, 0.066; GCA_003157055.1, s__LD21 sp003157055, 95.0, 75.95, 0.048; GCA_903844815.1, s__LD21 sp903844815, 95.0, 75.93, 0.064; GCA_003141495.1, s__LD21 sp003141495, 95.0, 75.9, 0.092; GCA_012517605.1, s__LD21 sp012517605, 95.0, 75.83, 0.066; GCA_002070505.1, s__LD21 sp002070505, 95.0, 75.78, 0.066; GCA_003141415.1, s__LD21 sp003141415, 95.0, 75.74, 0.102; GCA_017882305.1, s__LD21 sp017882305, 95.0, 75.66, 0.089; GCA_012729475.1, s__LD21 sp012729475, 95.0, 75.55, 0.048; GCA_002319885.1, s__LD21 sp002319885, 95.0, 75.5, 0.097; GCA_012522155.1, s__LD21 sp012522155, 95.0, 75.1, 0.038	23.47	11	0.93815	N/A
M1_25.247.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.1%)
M1_25.248.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.7%)
M1_25.249.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__E44-bin32;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__E44-bin32;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	81.12	11	0.89305	Genome has more than 10.0% of markers with multiple hits
M1_25.25.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
M1_25.250.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.5%)
M1_25.251.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	21.8	11	0.90131	N/A
M1_25.253.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.2%)
M1_25.254.filtered	d__Bacteria;p__WOR-3;c__E44-bin80;o__E44-bin80;f__E44-bin80;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__WOR-3;c__E44-bin80;o__E44-bin80;f__E44-bin80;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	70.27	11	0.78927	N/A
M1_25.255.filtered	d__Bacteria;p__Spirochaetota;c__B62-G9;o__B62-G9;f__B62-G9;g__DRHN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011049595.1	95.0	d__Bacteria;p__Spirochaetota;c__B62-G9;o__B62-G9;f__B62-G9;g__DRHN01;s__DRHN01 sp011049595	84.64	0.557	d__Bacteria;p__Spirochaetota;c__B62-G9;o__B62-G9;f__B62-G9;g__DRHN01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	25.16	11	0.93784	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.256.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__	N/A	N/A	N/A	N/A	N/A	GCA_011053095.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__SM23-62 sp011053095	77.21	0.218	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001303955.1, s__SM23-62 sp001303955, 95.0, 77.07, 0.158	37.47	11	0.91956	N/A
M1_25.257.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.0%)
M1_25.258.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.5%)
M1_25.26.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016934395.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__JAFGSZ01;s__JAFGSZ01 sp016934395	74.86	0.063	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	27.88	11	0.83719	N/A
M1_25.260.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	29.49	11	0.8272	N/A
M1_25.261.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
M1_25.262.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.3%)
M1_25.263.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
M1_25.264.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011046615.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__DSPQ01;s__DSPQ01 sp011046615	74.57	0.005	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__E44-bin32;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	25.87	11	0.82264	N/A
M1_25.265.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.1%)
M1_25.266.filtered	d__Bacteria;p__BMS3Abin14;c__BMS3Abin14;o__BMS3Abin14;f__JAFGWO01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016937135.1	95.0	d__Bacteria;p__BMS3Abin14;c__BMS3Abin14;o__BMS3Abin14;f__JAFGWO01;g__JAFGWO01;s__JAFGWO01 sp016937135	76.9	0.217	d__Bacteria;p__BMS3Abin14;c__BMS3Abin14;o__BMS3Abin14;f__JAFGWO01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	76.73	11	0.80295	N/A
M1_25.267.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.5%)
M1_25.268.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAFGEY01;f__JAFGEY01;g__JAFGIE01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016929775.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAFGEY01;f__JAFGEY01;g__JAFGIE01;s__JAFGIE01 sp016929775	77.98	0.356	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAFGEY01;f__JAFGEY01;g__JAFGIE01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	71.19	11	0.88038	N/A
M1_25.269.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.8%)
M1_25.27.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
M1_25.270.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__9FT-COMBO-55-16;s__	N/A	N/A	N/A	N/A	N/A	GCA_001795335.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__9FT-COMBO-55-16;s__9FT-COMBO-55-16 sp001795335	76.18	0.027	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__9FT-COMBO-55-16;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	27.98	11	0.91853	N/A
M1_25.271.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.5%)
M1_25.273.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__W498;g__W498;s__	N/A	N/A	N/A	N/A	N/A	GCA_011191875.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__W498;g__W498;s__W498 sp011191875	94.45	0.798	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__W498;g__W498;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_011170285.1, s__W498 sp011170285, 95.0, 83.77, 0.609	75.73	11	0.9745	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.275.filtered	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	23.15	11	0.87721	Genome has more than 57.5% of markers with multiple hits
M1_25.277.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__JADFVG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_015222405.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__JADFVG01;s__JADFVG01 sp015222405	83.67	0.418	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__E44-bin15;f__E44-bin15;g__JADFVG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	35.13	11	0.90527	Genome has more than 17.5% of markers with multiple hits
M1_25.278.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	14.93	11	0.89188	N/A
M1_25.279.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.7%)
M1_25.28.filtered	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__JABXJX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013375375.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__JABXJX01;s__JABXJX01 sp013375375	79.96	0.498	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__JABXJX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	66.18	11	0.86989	Genome has more than 24.2% of markers with multiple hits
M1_25.280.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAYZQ01;f__JAAYZQ01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAAYZQ01;f__JAAYZQ01;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.15	11	0.7977	Genome has more than 12.5% of markers with multiple hits
M1_25.281.filtered	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__CAJQQK01;s__	N/A	N/A	N/A	N/A	N/A	GCA_905480435.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__CAJQQK01;s__CAJQQK01 sp905480435	78.21	0.16	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__CAJQQK01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	15.91	11	0.96524	N/A
M1_25.282.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__VGOG01;f__VGOG01;g__VGOG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016875995.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__VGOG01;f__VGOG01;g__VGOG01;s__VGOG01 sp016875995	83.7	0.603	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__VGOG01;f__VGOG01;g__VGOG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	29.01	11	0.89177	Genome has more than 63.3% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.283.filtered	d__Bacteria;p__Actinobacteriota;c__Humimicrobiia;o__Humimicrobiales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Humimicrobiia;o__Humimicrobiales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	10.03	11	0.62256	N/A
M1_25.284.filtered	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_000493965.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	78.37	0.052	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	46.15	11	0.83756	N/A
M1_25.285.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.1%)
M1_25.286.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.9%)
M1_25.287.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.6%)
M1_25.288.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.289.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.29.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__	N/A	N/A	N/A	N/A	N/A	GCA_011053095.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__SM23-62 sp011053095	76.84	0.144	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SM23-62;g__SM23-62;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_001303955.1, s__SM23-62 sp001303955, 95.0, 76.94, 0.12	73.99	11	0.92514	N/A
M1_25.292.filtered	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__JAFGEP01;f__JAFGEP01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016931535.1	95.0	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__JAFGEP01;f__JAFGEP01;g__JAFGEP01;s__JAFGEP01 sp016931535	75.91	0.071	d__Bacteria;p__Myxococcota;c__Bradymonadia;o__JAFGEP01;f__JAFGEP01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	14.99	11	0.83551	N/A
M1_25.293.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_015222065.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__JADFUQ01;s__JADFUQ01 sp015222065	76.17	0.029	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	61.34	11	0.81056	N/A
M1_25.294.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.295.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.296.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.297.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
